Person,tBodyAcc.mean...X,tBodyAcc.mean...Y,tBodyAcc.mean...Z,tBodyAcc.std...X,tBodyAcc.std...Y,tBodyAcc.std...Z,tGravityAcc.mean...X,tGravityAcc.mean...Y,tGravityAcc.mean...Z,tGravityAcc.std...X,tGravityAcc.std...Y,tGravityAcc.std...Z,tBodyAccJerk.mean...X,tBodyAccJerk.mean...Y,tBodyAccJerk.mean...Z,tBodyAccJerk.std...X,tBodyAccJerk.std...Y,tBodyAccJerk.std...Z,tBodyGyro.mean...X,tBodyGyro.mean...Y,tBodyGyro.mean...Z,tBodyGyro.std...X,tBodyGyro.std...Y,tBodyGyro.std...Z,tBodyGyroJerk.mean...X,tBodyGyroJerk.mean...Y,tBodyGyroJerk.mean...Z,tBodyGyroJerk.std...X,tBodyGyroJerk.std...Y,tBodyGyroJerk.std...Z,tBodyAccMag.mean..,tBodyAccMag.std..,tGravityAccMag.mean..,tGravityAccMag.std..,tBodyAccJerkMag.mean..,tBodyAccJerkMag.std..,tBodyGyroMag.mean..,tBodyGyroMag.std..,tBodyGyroJerkMag.mean..,tBodyGyroJerkMag.std..,fBodyAcc.mean...X,fBodyAcc.mean...Y,fBodyAcc.mean...Z,fBodyAcc.std...X,fBodyAcc.std...Y,fBodyAcc.std...Z,fBodyAccJerk.mean...X,fBodyAccJerk.mean...Y,fBodyAccJerk.mean...Z,fBodyAccJerk.std...X,fBodyAccJerk.std...Y,fBodyAccJerk.std...Z,fBodyGyro.mean...X,fBodyGyro.mean...Y,fBodyGyro.mean...Z,fBodyGyro.std...X,fBodyGyro.std...Y,fBodyGyro.std...Z,fBodyAccMag.mean..,fBodyAccMag.std..,fBodyBodyAccJerkMag.mean..,fBodyBodyAccJerkMag.std..,fBodyBodyGyroMag.mean..,fBodyBodyGyroMag.std..,fBodyBodyGyroJerkMag.mean..,fBodyBodyGyroJerkMag.std..,Activity
1,0.22159824394000002,-0.0405139534294,-0.11320355357999999,-0.9280564692000001,-0.8368274056199999,-0.826061401628,-0.24888179828,0.70554977346,0.44581771979999996,-0.8968300184,-0.90772000676,-0.85236629022,0.0810865342,0.0038382040088000002,0.010834236361,-0.958482112,-0.9241492736,-0.9548551108,-0.016553093978,-0.064486124088,0.14868943625999997,-0.87354386782,-0.9510904402,-0.9082846626000001,-0.10727094919199999,-0.04151728689,-0.0740501211,-0.9186085208,-0.9679072436,-0.9577901595999999,-0.8419291525,-0.79514486386,-0.8419291525,-0.79514486386,-0.9543962645999999,-0.9282456284,-0.874759548,-0.8190101697600001,-0.96346103,-0.9358409828,-0.9390990523999999,-0.86706520518,-0.8826668762000001,-0.9244374345999999,-0.8336255561,-0.8128915594399999,-0.9570738837999999,-0.9224626098,-0.9480609042,-0.9641607086,-0.9322178704,-0.9605869872,-0.850249174586,-0.9521914948000001,-0.909302721,-0.8822964508,-0.9512320494,-0.9165825082,-0.8617676481000001,-0.7983009404000001,-0.9333003608,-0.9218039756,-0.8621901854,-0.82431943968,-0.9423669466,-0.9326606676000001,LAYING
2,0.28137340395833305,-0.0181587397583333,-0.107245610416667,-0.974059464791667,-0.98027739875,-0.984233296875,-0.509754238125,0.752536639375,0.646834879583333,-0.959014441458333,-0.988211865208333,-0.984230418125,0.0825972511666667,0.012254788451874998,-0.00180264895625,-0.98587216875,-0.98317254125,-0.988442014375,-0.01847660675,-0.111800824583333,0.144882846104167,-0.988275232916667,-0.982291608958333,-0.9603065604166671,-0.10197413420833301,-0.0358590176083333,-0.0701783020833333,-0.993235849166667,-0.989567537916667,-0.98803582125,-0.977435485208333,-0.972873912916667,-0.977435485208333,-0.972873912916667,-0.9877416960416671,-0.98551807625,-0.950011569583333,-0.9611640539583329,-0.991767074166667,-0.989718095208333,-0.976725059791667,-0.979800877916667,-0.984380981875,-0.973246482083333,-0.981025105625,-0.984792185,-0.985813630833333,-0.982768250416667,-0.986197134583333,-0.987250255833333,-0.984987392916667,-0.989345368541667,-0.9864311425,-0.9833216354166671,-0.9626718875,-0.988860685833333,-0.981910616458333,-0.963174222291667,-0.975110196458333,-0.975121387916667,-0.985374114791667,-0.9845684891666671,-0.972112972708333,-0.96109837875,-0.9902487022916671,-0.9894926604166671,LAYING
3,0.275516852741935,-0.0189556785048387,-0.10130047750645199,-0.982776639193548,-0.962057544516129,-0.96369103483871,-0.24175847806451603,0.8370320996774191,0.48870318516128997,-0.9825121930645161,-0.981202749677419,-0.9648075438709681,0.0769811125806452,0.0138041011306452,-0.00435625874355645,-0.9808793148387099,-0.968710724677419,-0.982093162903226,-0.0208170540330645,-0.0718507159435484,0.137999561112903,-0.974545752096774,-0.977272653709677,-0.9635056090322579,-0.10004449883871,-0.0389771765322581,-0.06873387,-0.980328645,-0.986762741935484,-0.9833382795161291,-0.972791346129032,-0.9642181764516129,-0.972791346129032,-0.9642181764516129,-0.9794845933870971,-0.976121297903226,-0.9515647514516129,-0.9542751109677421,-0.98671362516129,-0.9831392556451608,-0.980665609032258,-0.961169982903226,-0.9683321416129029,-0.983691129032258,-0.964094604193548,-0.96327908016129,-0.9805132022580642,-0.9687521137096771,-0.9791223443548391,-0.9831226159677421,-0.9710440127419359,-0.9837119046774191,-0.970167262903226,-0.9780996822580649,-0.9623419608064521,-0.975986433709677,-0.9770324954838709,-0.967256854193548,-0.96552427516129,-0.9683502174193549,-0.975949597903226,-0.975305377903226,-0.96458672483871,-0.955441855806452,-0.984278251290323,-0.982568158064516,LAYING
4,0.26355921498148105,-0.0150031841055556,-0.110688150314815,-0.9541937388888891,-0.941714042407407,-0.9626673148148149,-0.42066466222222204,0.9151651042592591,0.341531310555556,-0.921199965925926,-0.9698166357407408,-0.9761766088888891,0.0934494217777778,0.0069331321396851895,-0.00641054328740741,-0.9783027811111109,-0.942209488333333,-0.9785119842592591,-0.00923156347222222,-0.0930128180759259,0.169720404092593,-0.9731024222222221,-0.9611092918518521,-0.962073755,-0.105019877685185,-0.0381230432222222,-0.0712156288333333,-0.9751032042592591,-0.9868556298148149,-0.9839653598148149,-0.9545576031481479,-0.9312922166111111,-0.9545576031481479,-0.9312922166111111,-0.970095771666667,-0.9607864307407409,-0.930236462592593,-0.947031781666667,-0.985068502037037,-0.982698213703704,-0.958802077592593,-0.938883374444444,-0.9675042788888891,-0.9524648814814809,-0.9463809711111109,-0.962154454259259,-0.978542457407407,-0.9439699872222221,-0.9753833294444441,-0.980079292592593,-0.944366881666667,-0.980261236296296,-0.9672037364814821,-0.972187839074074,-0.961479262592593,-0.975094739444444,-0.956182500185185,-0.9658074666666671,-0.939389701296296,-0.937187975962963,-0.96228712537037,-0.958037119259259,-0.961556660185185,-0.947100325185185,-0.983609073333333,-0.982543631666667,LAYING
5,0.27833432557692306,-0.0183042123269231,-0.107937603673077,-0.965934509615385,-0.969295613269231,-0.9685625163461541,-0.483470597692308,0.9548903461538459,0.263644691923077,-0.9456953361538459,-0.985964053846154,-0.977076645,0.0848164824230769,0.00747460829615385,-0.00304067159653846,-0.9833078621153849,-0.964560430961538,-0.985419368461538,-0.0218935013501923,-0.0798709596153846,0.159894366942308,-0.979498706538461,-0.9774273705769231,-0.960583776923077,-0.102114125,-0.0404446925288462,-0.07083096875,-0.983422257692308,-0.983759479230769,-0.989679592307692,-0.9667778828846151,-0.9586127863461541,-0.9667778828846151,-0.9586127863461541,-0.980141253846154,-0.977477145384615,-0.9469383005769231,-0.958287921923077,-0.9864194225,-0.98377138,-0.9687416784615379,-0.9654195209615379,-0.977007724615385,-0.964953893653846,-0.972909186730769,-0.9658821911538459,-0.9826896571153849,-0.965328566153846,-0.983250309423077,-0.9856252703846151,-0.96624258,-0.986135599038461,-0.975797491730769,-0.978249645769231,-0.963202948461538,-0.980705769807692,-0.9772578009615379,-0.963305738076923,-0.9622349840384621,-0.962525369423077,-0.977356379807692,-0.976381934807692,-0.968257068846154,-0.959263063269231,-0.9846180257692311,-0.983434493076923,LAYING
6,0.24865652014035103,-0.0102529170561404,-0.13311957036842098,-0.9340494220526321,-0.9246448263859649,-0.9252161003508771,-0.47670987877192994,0.9565938142105259,0.175867709021053,-0.887746310350877,-0.959161956491228,-0.928130738421053,0.0963481955263158,-0.00114529240245614,0.00328817288070175,-0.9663410547368421,-0.9336744943859651,-0.9596460552631579,-0.0079605026754386,-0.107218315054386,0.17910205824561398,-0.9553782250877191,-0.9436349494736841,-0.9391418785964909,-0.11126728463157902,-0.0424104289992982,-0.0717774743859649,-0.9396116082456141,-0.9586288196491229,-0.9595790715789471,-0.918878850824561,-0.8973262459649121,-0.918878850824561,-0.8973262459649121,-0.9547505049122809,-0.950341934385965,-0.9089801747368421,-0.920914497017544,-0.955645738245614,-0.953157001578947,-0.9391142542105259,-0.9237067914035091,-0.938044912280702,-0.9324629414614041,-0.929711219929825,-0.924004748421053,-0.967072436842105,-0.9360434201754391,-0.9544258447368421,-0.9686191594736842,-0.935717452807018,-0.9635675408771931,-0.9354397696491229,-0.941771544385965,-0.932636612807018,-0.962164978596491,-0.9453650978947371,-0.947136774385965,-0.9123516522280699,-0.9053739798245609,-0.948655471052632,-0.951552664035088,-0.9301536394736841,-0.9286948901754392,-0.9536959573684209,-0.955504654561404,LAYING
7,0.250176694038462,-0.0204411516884615,-0.101361036576923,-0.93651361,-0.926262668653846,-0.952978365961539,-0.502814250576923,0.39344427807692295,0.907537823461538,-0.9142212700961541,-0.955543549230769,-0.9619089844230769,0.0968904018076923,0.0250624183634615,-0.0131653918205769,-0.980977756153846,-0.973093160192308,-0.972983064230769,-0.00282641913096154,-0.133605695057692,0.155920029769231,-0.9601268225,-0.9450719353846151,-0.9552948905769231,-0.10594424348461501,-0.0358897425826923,-0.0671901794615385,-0.9738372325,-0.9764837273076921,-0.9888718782692311,-0.936392023846154,-0.907039513153846,-0.936392023846154,-0.907039513153846,-0.980127239615385,-0.967310932307692,-0.915793634807692,-0.918662459038462,-0.9830088290384621,-0.971205137884615,-0.9534242455769231,-0.942193953846154,-0.958611644615385,-0.931120580576923,-0.922917902307692,-0.953380646346154,-0.9803930469230769,-0.9725316488461541,-0.9695249776923079,-0.983560175384615,-0.975886145,-0.975072995192308,-0.9536845476923079,-0.9575702076923079,-0.956905310961538,-0.9623482544230769,-0.9397278736538459,-0.9588764125,-0.9279768806346149,-0.9105424629192309,-0.9680662592307689,-0.9653592280769231,-0.941130719230769,-0.9188925186538459,-0.9741179121153849,-0.969403035384615,LAYING
8,0.261254282907407,-0.0212281733881481,-0.102245365611111,-0.94304121537037,-0.93489116,-0.932491454407407,-0.40593003611111106,0.5899224348148149,0.7198315392592591,-0.9188731923333331,-0.9579900364814821,-0.94183626337037,0.0878326902592593,0.0233299159137037,-0.0169218791344444,-0.9732530422222221,-0.976520952037037,-0.96608757462963,0.0053536120685185205,-0.0891374138592593,0.13818830737037,-0.965204017592593,-0.9520393857407409,-0.96758975462963,-0.106445008314815,-0.0389735198722222,-0.0694123150925926,-0.969924077407407,-0.974186451851852,-0.9876012037037041,-0.9353086338888891,-0.91325033,-0.9353086338888891,-0.91325033,-0.97314748962963,-0.9629545172222221,-0.9242533485185179,-0.932470764444444,-0.978438191296296,-0.969029111666667,-0.9535385638888891,-0.951816663703704,-0.944269514074074,-0.940125298333333,-0.931236756962963,-0.931146497518519,-0.973110596111111,-0.9758774374074071,-0.962111136666667,-0.9759599114814809,-0.979170881666667,-0.968699222962963,-0.9579038861111109,-0.9574111601851851,-0.967461239074074,-0.9678463607407409,-0.950316470925926,-0.9706719664814809,-0.9322796455185179,-0.9172579794259259,-0.961792852407407,-0.9637910942592591,-0.944528950555556,-0.93678697,-0.9684039459259259,-0.9717932798148149,LAYING
9,0.2591955368,-0.020526821662,-0.10754972144000001,-0.94233309,-0.9162927764,-0.9407072854,-0.5802528348,-0.11915419619999999,0.9578730416,-0.9218210626000001,-0.9699944881999999,-0.9712046902,0.08807344764000001,0.011561732718,-0.007053677858399999,-0.9647404702,-0.9639966798,-0.958562455,-0.013632036148000001,-0.15890291983,0.101275010682,-0.9422465098,-0.9266185314000001,-0.9615953704000001,-0.10384667982000001,-0.027552256948000002,-0.0569490475,-0.945329035,-0.9621702422,-0.9770761602,-0.9308684376,-0.91512680016,-0.9308684376,-0.91512680016,-0.9633745492,-0.9550268051999999,-0.9071250998,-0.8985578738,-0.9645248190000001,-0.9528015598,-0.9468654940000001,-0.9343665984,-0.9459190006,-0.9409810272,-0.9128367507999999,-0.9419711636,-0.964304065,-0.9640828062000001,-0.955909215,-0.9686013042,-0.9666341359999999,-0.9597147176,-0.930297921,-0.9345796594,-0.9598150092000001,-0.9463891504,-0.9231319365999999,-0.965686312,-0.9266042952,-0.9219297383939999,-0.9543205856,-0.9550947122,-0.9186053356,-0.9034005814,-0.9558062545999999,-0.9522904701999999,LAYING
10,0.280230574137931,-0.024294484137931,-0.117168642362069,-0.968283685,-0.9464543020689659,-0.95947148637931,-0.453069737586207,-0.139297681034483,-0.031121624137931,-0.954531941896552,-0.9667011560344828,-0.9630456424310351,0.073815064487931,0.015698997097068998,0.00716689586275862,-0.978007466724138,-0.9669307934482759,-0.9762566625862071,-0.019555937162069,-0.0770325657265517,0.104720478344828,-0.961713199827586,-0.9536602075862071,-0.9719405974137929,-0.10030825441379301,-0.0388797920413793,-0.0590744912758621,-0.965900578103448,-0.9666210403448281,-0.983949302758621,-0.956781819655172,-0.940301654482759,-0.956781819655172,-0.940301654482759,-0.976234435172414,-0.9675569806896551,-0.9375909987931031,-0.927471165517241,-0.9708308489655171,-0.959632931551724,-0.96918420862069,-0.9543418491379309,-0.964300845172414,-0.9679680386206899,-0.9462291482586209,-0.9598136678103449,-0.979014668793104,-0.9680391737931031,-0.9725922129310342,-0.9789043641379309,-0.968120692241379,-0.9785823391379309,-0.953793912068965,-0.9546700344827591,-0.9697557772413791,-0.9645445663793101,-0.9534534965517241,-0.9752987970689649,-0.9508481091379308,-0.9443049746551719,-0.968561121551724,-0.9653775534482759,-0.9376926425862071,-0.933701315344828,-0.960976821551724,-0.9607728755172409,LAYING
