simple.classes,simple.attributes,simple.numeric,simple.nominal,simple.samples,simple.dimensionality,simple.numeric_rate,simple.nominal_rate,simple.symbols_min,simple.symbols_max,simple.symbols_mean,simple.symbols_sd,simple.symbols_sum,simple.class_prob_min,simple.class_prob_max,simple.class_prob_mean,simple.class_prob_sd,statistical.skewness,statistical.skewness_prep,statistical.kurtosis,statistical.kurtosis_prep,statistical.abs_cor,statistical.cancor_1,statistical.fract_1,inftheo.class_entropy,inftheo.normalized_class_entropy,inftheo.attribute_entropy,inftheo.normalized_attribute_entropy,inftheo.joint_entropy,inftheo.mutual_information,inftheo.equivalent_attributes,inftheo.noise_signal_ratio,modelbased.nodes,modelbased.leaves.nodes_per_attribute,modelbased.nodes_per_instance,modelbased.leaf_corrobation,modelbased.level_min,modelbased.level_max,modelbased.level_mean,modelbased.level_sd,modelbased.branch_min,modelbased.branch_max,modelbased.branch_mean,modelbased.branch_sd,modelbased.attribute_min,modelbased.attribute_max,modelbased.attribute_mean,modelbased.attribute_sd,modelbased.NA,landmarking.naive_bayes,landmarking.stump_min,landmarking.stump_max,landmarking.stump_mean,landmarking.stump_sd,landmarking.stump_min_gain,landmarking.stump_random,landmarking.nn_1,dcomp.f1,dcomp.f1v,dcomp.f2,dcomp.f3,dcomp.f4,dcomp.l1,dcomp.l2,dcomp.l3,dcomp.n1,dcomp.n2,dcomp.n3,dcomp.n4,dcomp.t1,dcomp.t2,cnet.edges,cnet.degree,cnet.density,cnet.maxComp,cnet.closeness,cnet.betweenness,cnet.clsCoef,cnet.hubs,cnet.avgPath,Class
2,14,6,8,4562,0.003069,0.428571,0.571429,2,39.0,10.888889,11.580635000000001,98,0.248137,0.7518630000000001,0.5,0.356188,3.304282,13.855255999999999,57.613232999999994,390.196049,0.18424400000000002,0.609164,1.0,0.560279,0.808312,1.300331,0.49857399999999996,1.2347,0.04622,12.122069,27.133671000000003,7.0,8.0,0.5,0.001534,0.125,2,4,3.5,1.0,3,5.0,4.25,0.8864049999999999,0,3,0.5,0.85485,0.8211309999999999,0.7518630000000001,0.792416,0.75584,0.011271999999999999,0.7518630000000001,0.7518630000000001,0.767646,0.365,3.302,0.267,0.026000000000000002,0.04,0.7809999999999999,0.196,0.389,0.326,0.603,0.231,0.271,0.996,325.857,1137615,498.735204,0.109348,3430,0.0,4534.469531000001,0.202783,0.786903,4.3248169999999995,Tuning
2,47,47,0,4562,0.010302,1.0,0.0,2,2.0,2.0,0.0,2,0.248137,0.7518630000000001,0.5,0.356188,6.494871,6.494871,158.014522,158.014522,0.054273,0.597873,1.0,0.560279,0.808312,0.417184,0.09887,0.560279,0.014956,37.462413,26.894541999999998,5.0,6.0,0.10638299999999999,0.0010960000000000002,0.166667,2,4,2.5,1.0,3,5.0,3.833333,0.983192,0,2,0.10638299999999999,0.374981,0.6808420000000001,0.7518630000000001,0.792416,0.753108,0.00627,0.7518630000000001,0.7518630000000001,0.7707149999999999,0.693,2.9760000000000004,0.0,0.026000000000000002,0.046,0.988,0.17800000000000002,0.248,0.32799999999999996,0.485,0.22899999999999998,0.25,0.998,97.064,1507931,661.083297,0.14494300000000002,3430,0.0,1320.5990789999998,0.280013,0.5959260000000001,1.941041,Tuning
2,8,8,0,369,0.02168,1.0,0.0,2,2.0,2.0,0.0,2,0.447154,0.552846,0.5,0.074735,3.6990769999999995,3.6990769999999995,29.002703999999998,29.002703999999998,0.29935,0.340004,1.0,0.687551,0.991927,0.694714,0.23594099999999998,0.687551,0.019753,34.808049,34.170662,6.0,7.0,0.75,0.01626,0.14285699999999998,2,4,2.4,0.8944270000000001,2,6.0,4.428571,1.397276,0,3,0.75,1.164965,0.539295,0.566396,0.631436,0.60332,0.021822,0.566396,0.604336,0.688347,0.156,0.5660000000000001,0.004,0.049,0.079,0.8759999999999999,0.447,0.5,0.542,0.777,0.312,0.41100000000000003,0.995,46.125,7005,37.96748,0.103172,204,1.4999999999999999e-05,213.12466099999997,0.189859,0.759316,2.967594,Defaults
2,37,37,0,1458,0.025377,1.0,0.0,2,2.0,2.0,0.0,2,0.12208499999999999,0.877915,0.5,0.534452,4.278449,4.278449,46.503840000000004,46.503840000000004,0.3649,0.568092,1.0,0.371059,0.535325,0.675501,0.1857,0.371059,0.014632,25.3587,45.164711,21.0,22.0,0.5675680000000001,0.014403000000000001,0.045455,2,6,3.5,1.7320509999999998,2,13.0,8.318182,3.137885,0,3,0.5675680000000001,0.834684,0.879287,0.877915,0.877915,0.877915,0.0,0.877915,0.877915,0.8744860000000001,0.5920000000000001,5.899,0.0,0.12300000000000001,0.349,0.265,0.122,0.5,0.19699999999999998,0.446,0.126,0.287,0.998,39.405,157182,215.613169,0.147984,1280,3e-06,1728.1090530000001,0.24485,0.779664,4.031724,Tuning
2,37,37,0,1563,0.023672,1.0,0.0,2,2.0,2.0,0.0,2,0.102367,0.897633,0.5,0.562338,6.428958000000001,6.428958000000001,124.24494299999999,124.24494299999999,0.419897,0.444716,1.0,0.330253,0.476455,0.566095,0.15345999999999999,0.330253,0.009452,34.941598,58.894161,21.0,22.0,0.5675680000000001,0.013436000000000002,0.045455,2,6,3.818182,1.8877599999999999,3,12.0,7.181817999999999,2.5752740000000003,0,4,0.5675680000000001,0.834684,0.45809300000000003,0.897633,0.897633,0.897633,0.0,0.897633,0.897633,0.8733209999999999,0.505,0.41700000000000004,0.0,0.065,0.13699999999999998,0.205,0.102,0.5,0.193,0.489,0.128,0.363,1.0,42.243,186830,239.06589900000003,0.153051,1403,4e-06,1932.4145870000002,0.259441,0.777148,4.042278,Tuning
2,39,39,0,161,0.242236,1.0,0.0,2,2.0,2.0,0.0,2,0.322981,0.6770189999999999,0.5,0.250342,2.327212,2.327212,11.197692,11.197692,0.5077050000000001,0.6359779999999999,1.0,0.629096,0.907594,0.720494,0.2809,0.629096,0.03882,16.205318,17.559686,7.0,8.0,0.17948699999999998,0.043477999999999996,0.125,2,2,2.0,0.0,2,8.0,5.375,2.263846,0,1,0.17948699999999998,0.388776,0.7391300000000001,0.6770189999999999,0.757764,0.711897,0.029015,0.6770189999999999,0.708075,0.695652,0.295,6.46,1e-06,0.161,0.988,0.609,0.292,0.478,0.509,0.772,0.311,0.273,1.0,4.128,1473,18.298137,0.114363,109,9.499999999999999e-05,132.50931699999998,0.184703,0.779501,3.876147,Tuning
2,38,38,0,9466,0.004014,1.0,0.0,2,2.0,2.0,0.0,2,0.007184,0.992816,0.5,0.6969479999999999,11.008148,11.008148,445.88215599999995,445.88215599999995,0.452292,0.358243,1.0,0.042616,0.061480999999999994,0.42510699999999996,0.092925,0.042616,0.004162,10.238068,101.12839699999999,8.0,9.0,0.21052600000000002,0.0008449999999999999,0.11111099999999999,2,4,2.285714,0.755929,2,8.0,5.3333330000000005,2.061553,0,2,0.21052600000000002,0.474079,0.938306,0.992816,0.992816,0.992816,0.0,0.992816,0.992816,0.99419,1.7380000000000002,10.56,0.0,0.535,0.631,0.015,0.006999999999999999,0.5,0.013999999999999999,0.021,0.008,0.37799999999999995,0.9990000000000001,249.105,9145460,1932.2755120000002,0.20415,9398,1e-06,8704.553349,0.412297,0.750416,2.865985,Tuning
2,29,29,0,107,0.27102800000000005,1.0,0.0,2,2.0,2.0,0.0,2,0.186916,0.813084,0.5,0.44276800000000005,2.632114,2.632114,14.16589,14.16589,0.542723,0.7166239999999999,1.0,0.48172,0.694975,0.508659,0.220908,0.48172,0.06994600000000001,6.887067999999999,6.272207,1.0,2.0,0.034483,0.009346,0.5,2,2,2.0,0.0,2,2.0,2.0,0.0,0,1,0.034483,0.185695,0.8598129999999999,0.813084,0.878505,0.8511120000000001,0.027918000000000002,0.813084,0.813084,0.766355,0.9740000000000001,7.332000000000001,0.0,0.439,0.981,0.409,0.17800000000000002,0.5,0.336,0.731,0.23399999999999999,0.257,0.991,3.69,800,14.953270999999999,0.141069,87,0.000346,105.056075,0.231281,0.771435,3.9772790000000002,Defaults
2,21,21,0,522,0.04023,1.0,0.0,2,2.0,2.0,0.0,2,0.204981,0.7950189999999999,0.5,0.41722,4.426480000000001,4.426480000000001,32.985683,32.985683,0.742975,0.598582,1.0,0.5072300000000001,0.731779,0.304279,0.09704299999999999,0.5072300000000001,0.041356,12.265086,6.357616,7.0,8.0,0.333333,0.01341,0.125,2,4,2.8,1.095445,2,6.0,4.625,1.30247,0,2,0.333333,0.658281,0.8371649999999999,0.7950189999999999,0.854406,0.8285899999999999,0.018381,0.7950189999999999,0.7950189999999999,0.808429,0.85,6.757999999999999,0.0,0.042,0.151,0.42,0.19699999999999998,0.49200000000000005,0.289,0.75,0.192,0.24100000000000002,1.0,24.857,21570,82.64367800000001,0.158625,415,1.4999999999999999e-05,397.04789300000004,0.269719,0.767708,3.3341019999999997,Defaults
2,29,29,0,101,0.287129,1.0,0.0,2,2.0,2.0,0.0,2,0.148515,0.851485,0.5,0.497075,1.583703,1.583703,5.716994000000001,5.716994000000001,0.50794,0.6936829999999999,1.0,0.420124,0.606111,0.649516,0.28208099999999997,0.420124,0.028968,14.503264999999999,21.422194,1.0,2.0,0.034483,0.009901,0.5,2,2,2.0,0.0,2,2.0,2.0,0.0,0,1,0.034483,0.185695,0.871287,0.851485,0.881188,0.854216,0.007893,0.851485,0.851485,0.841584,0.53,20.095,0.0,0.218,0.99,0.29,0.149,0.5,0.267,0.589,0.158,0.252,0.9209999999999999,3.483,753,14.910891000000001,0.149109,86,0.00047999999999999996,100.247525,0.23928000000000002,0.748891,3.763064,Tuning
