B,FS,K,T
2.14566,9.90983,2.25616,1.84261
1.59451,4.05165,1.45676,1.77980
1.60005,1.02000,1.71383,1.77468
1.63237,1.09840,1.28130,1.86637
1.58432,1.06376,1.45784,1.73915
1.59359,1.04825,1.37260,1.73285
1.66809,1.12236,1.57412,1.66153
1.62280,1.02000,1.25670,1.64463
1.55671,1.02000,1.40919,1.60114
1.31039,3.08600,1.30928,1.65737
1.56982,3.59588,1.40730,1.78096
1.53656,3.18110,1.39913,1.64428
1.49080,1.02000,1.21134,1.59960
1.50091,1.06738,1.43772,1.55892
1.53878,1.12050,1.53765,1.55008
1.52998,1.03514,1.26323,1.86819
1.54135,1.03275,1.48981,1.53907
1.59608,1.07113,1.41852,1.59884
1.25566,2.16759,1.25281,1.53423
1.37867,1.09511,1.40409,1.56812
1.43833,2.11971,1.28870,1.56202
1.42824,1.09526,1.40208,1.58532
1.46163,1.03379,1.36196,1.87350
1.48446,1.04752,1.48446,1.50849
1.48412,1.17063,1.48860,1.52862
1.45223,1.13603,1.15217,1.95697
1.46798,1.05348,1.44976,1.46325
1.38812,2.97724,1.43674,1.65603
1.36124,2.07615,1.17940,1.51176
1.41937,1.05029,1.35772,1.50773
1.39691,1.06911,1.34883,1.39691
1.40412,1.02000,1.22689,1.86281
1.40285,1.07056,1.30298,1.68043
1.43919,1.04676,1.32555,1.78193
1.45038,1.02000,1.41625,1.70404
1.44204,1.05193,1.32785,1.78768
1.40170,3.60008,1.40168,1.52475
1.39922,2.44014,1.21875,1.51437
1.56577,2.38096,1.21047,1.60317
1.45704,1.06039,1.41025,1.57194
1.42668,1.02000,1.42668,1.53264
1.41342,1.07623,1.36063,1.88429
1.41212,1.08134,1.42112,1.72376
1.40131,1.10829,1.32036,1.66618
1.41027,1.11505,1.29841,1.71426
1.54492,6.79785,1.74276,1.71988
1.60933,2.48958,1.36196,1.60374
1.45327,1.02915,1.42051,1.54777
1.41706,1.02000,1.17177,1.85989
1.36510,1.05057,1.31429,1.76598
1.38141,1.02000,1.17048,1.69636
1.39932,1.02000,1.35358,1.38072
1.35898,1.06423,1.35898,1.71023
1.39795,1.02112,1.32516,1.60988
1.20892,2.10166,1.20862,1.54212
1.39199,1.07038,1.34188,1.52166
1.35989,1.02000,1.27501,1.43275
1.39007,1.17176,1.29214,1.43120
1.38978,1.03376,1.26922,1.47903
1.36642,1.02000,1.33806,1.37529
1.41989,1.04437,1.33454,1.41321
1.36210,1.08264,1.22347,1.31008
1.36945,1.02000,1.28800,1.48231
1.40228,3.16784,1.40908,1.58442
1.39458,1.08859,1.39458,1.52257
1.42883,1.05760,1.38438,1.51926
1.40699,1.02000,1.32789,1.43224
1.37942,1.02000,1.30518,1.44105
1.39409,1.05113,1.35917,1.40475
1.36859,1.08418,1.25444,1.50894
1.38554,1.06535,1.31662,1.44293
